Date,Location,Latitude,Longitude,Season,RainTomorrow,RainMm,WindGustSpeed,WindGustSpeedGroup,WindGustDir,WindGustDirDegrees,WindSpeed9am,WindDir9amDegrees,WindSpeed3pm,WindDir3pmDegrees,WindSpeedChange
2016-6-15,Sydney (ERA5 grid point),-33.848858,151.19551,winter,0,0.0,18.4,Q1,W,260,7.6,267,5.0,69,-2.5999999999999996
2016-6-16,Sydney (ERA5 grid point),-33.848858,151.19551,winter,1,0.0,24.5,Q1,NNW,329,5.4,307,8.4,10,3.0
2016-6-17,Sydney (ERA5 grid point),-33.848858,151.19551,winter,1,0.2,33.1,Q1,N,350,11.6,353,14.0,359,2.4000000000000004
2016-6-18,Sydney (ERA5 grid point),-33.848858,151.19551,winter,1,8.9,19.4,Q1,WNW,291,3.0,346,7.0,235,4.0
2016-6-19,Sydney (ERA5 grid point),-33.848858,151.19551,winter,1,28.0,41.0,Q2,SE,125,11.1,193,12.4,120,1.3000000000000007
2016-6-20,Sydney (ERA5 grid point),-33.848858,151.19551,winter,0,1.1,49.0,Q3,NW,314,9.2,329,19.2,304,10.0
2016-6-21,Sydney (ERA5 grid point),-33.848858,151.19551,winter,1,0.0,45.4,Q3,NW,311,18.2,322,17.0,302,-1.1999999999999993
2016-6-22,Sydney (ERA5 grid point),-33.848858,151.19551,winter,0,0.1,49.0,Q3,WNW,298,10.0,308,20.4,279,10.399999999999999
2016-6-23,Sydney (ERA5 grid point),-33.848858,151.19551,winter,0,0.0,41.4,Q2,NNW,338,7.8,347,15.0,318,7.2
2016-6-24,Sydney (ERA5 grid point),-33.848858,151.19551,winter,0,0.0,58.7,Q4,WNW,289,13.0,304,25.5,279,12.5
2016-6-25,Sydney (ERA5 grid point),-33.848858,151.19551,winter,0,0.0,48.6,Q3,WSW,248,15.0,253,14.1,230,-0.9000000000000004
2016-6-26,Sydney (ERA5 grid point),-33.848858,151.19551,winter,1,0.0,19.1,Q1,WNW,289,6.6,279,2.2,360,-4.3999999999999995
2016-6-27,Sydney (ERA5 grid point),-33.848858,151.19551,winter,0,5.1,34.9,Q2,W,263,8.8,289,12.3,249,3.5
